Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
FB1_ATAC_R1	12.277321277214142	45.0	75.1844068097974	9.090909090909092	16849958.0
FB1_ATAC_R2	10.941013898363224	45.0	75.14856464330653	9.090909090909092	16849958.0
FB2_ATAC_R1	15.142565570269369	44.0	75.138242377944	9.090909090909092	7710190.0
FB2_ATAC_R2	14.926294489898126	44.0	75.09951739191901	9.090909090909092	7710190.0
FB2_reseq_ATAC_R1	20.298115435324874	44.0	75.1387107401988	9.090909090909092	17580196.0
FB2_reseq_ATAC_R2	19.630606112167996	44.0	75.10718486870113	9.090909090909092	17580196.0
FB3_ATAC_R1	15.431134742234264	45.0	75.17511223303312	9.090909090909092	21497236.0
FB3_ATAC_R2	15.041844208366868	45.0	75.16874160008291	9.090909090909092	21497236.0
MB1_ATAC_R1	30.084782026872674	46.0	75.33727035817027	9.090909090909092	27464563.0
MB1_ATAC_R2	28.724990735066257	46.0	75.30470402896998	9.090909090909092	27464563.0
MB2_ATAC_R1	19.383327412474728	46.0	75.0970923146198	9.090909090909092	28786058.0
MB2_ATAC_R2	18.25444471809797	46.0	75.09664598744295	9.090909090909092	28786058.0
MB3_ATAC_R1	20.918511785557953	43.0	71.32804490933947	18.181818181818183	5437978.0
MB3_ATAC_R2	20.83058623770691	43.0	71.32369126907096	18.181818181818183	5437978.0
MB3_reseq_ATAC_R1	32.85202985897239	43.0	71.74793427853473	9.090909090909092	15942493.0
MB3_reseq_ATAC_R2	31.73487049685285	43.0	71.72648211292926	18.181818181818183	15942493.0
