seqnames start end width strand Conc Conc_t39 Conc_t37 Fold p.value FDR X39.1 X39.2 X39.3 X39.4 X37.1 X37.2 X37.3 X37.4 name
chr13 113729709 113729909 201 * 6.87849021695721 7.76810820013763 4.11546176749908 3.5451636265273 7.49025605332422e-100 3.60638204835671e-96 225.96 256.31 192.25 197.44 16.87 13.85 20.53 18.08 chr13:113729709-113729909
chr10 122844196 122844396 201 * 5.44921721166131 6.29019864460352 3.18893892569017 2.96266694405113 6.66036132358858e-38 1.08813819300808e-35 73 86.55 74.96 78.53 8.24 10.66 10.26 7.32 chr10:122844196-122844396
chr3 118560088 118560288 201 * 5.27856043516607 6.11853477373706 3.02689592663917 2.91145509758166 3.17139911736365e-33 3.7136221624511e-31 82.27 81 65.29 49.36 6.67 8.52 8.8 8.61 chr3:118560088-118560288
chr14 18062284 18062484 201 * 6.66556205976809 7.49619417641132 4.49117235163265 2.88541076851014 1.61149599671124e-74 2.35540283619306e-71 166.86 216.37 188.62 150.32 23.15 21.31 20.53 24.97 chr14:18062284-18062484
chr4 72230882 72231082 201 * 5.33137490758737 6.16425724450597 3.13879234284276 2.83241837016292 2.19421875910854e-32 2.36625822993139e-30 85.75 85.44 64.08 51.6 5.89 7.46 10.26 11.62 chr4:72230882-72231082
chr2 69074171 69074371 201 * 5.15103358113177 5.98925925750785 2.9141903637982 2.81687642238449 5.54141437986822e-30 4.88234992902684e-28 78.8 71.01 61.66 42.63 7.85 5.33 8.8 8.18 chr2:69074171-69074371
chr8 118249484 118249684 201 * 7.56144778233936 8.37478636275166 5.51885252747151 2.78404361693852 2.67532233589072e-125 4.37955617029982e-121 332.56 361.72 321.62 311.86 44.34 37.29 48.39 53.38 chr8:118249484-118249684
chr3 7487843 7488043 201 * 6.5047215147218 7.30656048623226 4.54275371428519 2.73462416429518 5.1872764446576e-64 3.9313311506636e-61 165.7 145.35 142.67 179.49 18.44 28.77 24.93 21.09 chr3:7487843-7488043
chr1 190111818 190112018 201 * 5.6734671880521 6.47956596456052 3.68222971546273 2.65945266396732 1.27357588924305e-36 1.90225292172323e-34 71.84 117.61 97.94 69.55 13.34 11.72 14.66 11.62 chr1:190111818-190112018
chr6 137897841 137898041 201 * 5.9718442870373 6.76801573955209 4.04779136795873 2.63652543407256 9.02152118897914e-47 2.60007229168708e-44 100.81 119.83 107.61 107.69 14.52 18.11 17.59 15.93 chr6:137897841-137898041
chr13 28944045 28944245 201 * 5.9189922977675 6.72896078629692 3.90056354765855 2.63608267123868 1.81027024261153e-45 4.81079316974013e-43 97.34 108.74 101.56 116.67 15.7 14.92 13.2 15.93 chr13:28944045-28944245
chr6 33694479 33694679 201 * 8.03377887711066 8.81686130226649 6.19313126273947 2.60771887620288 1.89308094117052e-154 1.54950568115748e-149 449.6 477.12 480.02 397.12 73.77 73.52 74.78 70.6 chr6:33694479-33694679
chr14 49120788 49120988 201 * 5.51528653497616 6.32173303906528 3.52162949496985 2.60067850904941 1.02578051775156e-34 1.30577233527967e-32 69.53 76.56 93.1 80.77 12.56 12.79 10.26 10.33 chr14:49120788-49120988
chr8 25819441 25819641 201 * 7.56333184887083 8.34414710247531 5.73657964816861 2.59670420391351 2.71741039937027e-105 2.47136398443173e-101 319.82 361.72 360.31 258.01 47.09 51.15 58.65 56.39 chr8:25819441-25819641
chr7 71186213 71186413 201 * 6.42657867635456 7.20977966458364 4.58520009333002 2.55983215824518 2.46271761533091e-55 1.15186228304257e-52 155.27 177.53 126.96 132.37 19.23 26.64 23.46 26.69 chr7:71186213-71186413
chr4 18967754 18967954 201 * 5.96534876748923 6.77922975079111 3.91882057354726 2.54310513948955 5.5939159783927e-22 2.54795557455437e-20 107.76 134.26 76.17 121.15 12.56 24.51 8.8 14.64 chr4:18967754-18967954
chr6 33721233 33721433 201 * 6.83772512408832 7.615325575103 5.03041296718446 2.53527351202923 5.61175555750399e-72 7.06658160211168e-69 220.16 211.93 201.92 150.32 31 33.03 32.26 34.44 chr6:33721233-33721433
chr19 16645228 16645428 201 * 6.28303936284909 7.06869554909547 4.42642641749759 2.5248063726681 1.8219048976623e-50 6.45561635405006e-48 103.13 155.34 143.88 134.62 21.58 22.38 20.53 21.52 chr19:16645228-16645428
chr8 41177065 41177265 201 * 6.00105163284868 6.77964991981364 4.18773813148039 2.51422251854796 2.53155138090501e-44 6.29817665891965e-42 95.02 119.83 112.45 112.18 14.91 17.05 21.99 18.94 chr8:41177065-41177265
chr9 66425624 66425824 201 * 5.91344852130444 6.70354559020933 4.02879715693043 2.48768454508897 1.6949019392396e-38 2.88418749747818e-36 120.51 126.49 84.64 85.26 14.52 21.31 8.8 20.66 chr9:66425624-66425824
chr19 3526256 3526456 201 * 7.02957364831001 7.80558534757766 5.231757107475 2.47074899745243 5.24553250523072e-77 8.58704162171279e-74 192.35 255.2 214.01 233.33 40.81 34.1 36.66 38.74 chr19:3526256-3526456
chr9 116438647 116438847 201 * 6.23096846272544 7.00189810350523 4.46304477511951 2.46922070029781 9.14118514012972e-44 2.15623961067653e-41 108.92 165.33 101.56 136.86 20.01 27.7 21.99 18.51 chr9:116438647-116438847
chr6 48979655 48979855 201 * 5.93569869927142 6.70812855564213 4.15902584437038 2.46777487368469 3.01911395234608e-42 6.52025055708389e-40 104.29 117.61 108.82 87.5 14.91 18.11 19.06 19.37 chr6:48979655-48979855
chrX 10548491 10548691 201 * 6.3407816490281 7.10278921596738 4.6236421366603 2.46526317399246 9.3005900906065e-49 2.99709684844973e-46 161.07 157.56 110.03 121.15 21.19 21.31 33.72 22.39 chrX:10548491-10548691
chr1 22181872 22182072 201 * 5.97650213141935 6.75035953692748 4.19144581151882 2.46313268773302 8.83813279794264e-43 1.96046072532359e-40 110.08 110.96 106.4 103.21 14.91 11.72 24.93 21.52 chr1:22181872-22182072
chr8 68519695 68519895 201 * 5.97400631729683 6.74759383871976 4.19053930223612 2.46094514412936 4.57255903904555e-43 1.03104278210721e-40 114.72 112.07 93.1 109.94 16.48 21.31 17.59 17.65 chr8:68519695-68519895
chr9 123000527 123000727 201 * 7.7267830698042 8.48813805670945 6.01327673175257 2.45144231767948 1.09103026187347e-120 1.27574168520865e-116 375.44 380.58 348.22 332.05 60.04 62.87 67.45 68.02 chr9:123000527-123000727
chrX 9934070 9934270 201 * 5.60517792369256 6.37956680312109 3.81698583785895 2.4455421395572 3.92014312633063e-34 4.81783235785718e-32 78.8 89.88 85.85 78.53 10.2 17.05 13.2 15.93 chrX:9934070-9934270
